날짜,감성_점수,뉴스_개수,주요_감정
2025-02-19,0.1291,40,중립
2025-02-18,0.1179,40,중립
2025-02-17,0.0423,40,중립
2025-02-16,-0.0081,33,중립
2025-02-15,-0.2211,6,부정
2025-02-14,0.0423,40,중립
2025-02-13,0.1494,40,중립
2025-02-12,0.2659,40,중립
2025-02-11,0.1225,40,중립
2025-02-10,0.209,40,중립
2025-02-09,0.2221,25,중립
2025-02-08,-0.0993,12,중립
2025-02-07,-0.2667,40,중립
2025-02-06,-0.0137,40,중립
2025-02-05,0.1299,40,중립
2025-02-04,0.1353,40,중립
2025-02-03,-0.2093,40,부정
2025-02-02,0.0106,28,중립
2025-02-01,-0.2871,12,중립
2025-01-31,-0.3116,40,부정
2025-01-30,-0.0834,26,중립
2025-01-29,0.0675,13,중립
2025-01-28,0.0027,13,중립
2025-01-27,0.0095,16,중립
2025-01-26,0.2411,17,중립
2025-01-25,0.1057,9,중립
2025-01-24,0.0641,40,중립
2025-01-23,0.081,40,중립
2025-01-22,0.0298,40,중립
2025-01-21,0.0544,40,중립
2025-01-20,0.1259,40,중립
2025-01-19,0.2108,34,중립
2025-01-18,-0.0796,9,부정
2025-01-08,0.4239,2,중립
2024-12-23,0.0003,1,중립
2024-11-29,0.001,2,중립
2024-11-18,0.9978,2,긍정
2024-11-15,0.4999,2,중립
2024-10-31,0.3268,8,긍정
2024-10-08,0.4239,2,중립
2024-08-05,0.0003,2,중립
2024-07-31,0.4616,4,긍정
2024-07-05,0.4239,2,중립
2024-06-28,0.0056,1,중립
2024-05-21,0.0,1,중립
2024-04-30,0.6151,3,긍정
2024-04-16,0.0003,1,중립
2024-04-05,0.4239,2,중립
2024-03-22,0.0001,1,중립
2024-03-20,0.0,1,중립
2024-02-20,0.0005,2,중립
2024-02-19,-0.3437,1,중립
2024-01-31,0.1664,6,긍정
2024-01-09,0.4239,2,중립
2023-12-01,0.001,2,중립
2023-11-06,0.0001,1,중립
2023-10-31,0.4642,4,긍정
2023-10-11,0.4239,2,중립
2023-07-27,0.4616,4,긍정
2023-07-07,0.4239,2,중립
2023-07-03,0.0056,1,중립
2023-05-31,0.0042,1,중립
2023-04-27,0.3695,5,긍정
2023-04-13,0.0001,1,중립
2023-04-07,0.8477,1,긍정
2023-03-17,0.0001,1,중립
2023-03-15,0.0,1,중립
2023-02-16,-0.3437,1,중립
2023-02-14,0.0007,3,중립
2023-01-31,0.1996,5,긍정
2023-01-06,0.4239,2,중립
2022-12-01,0.001,3,중립
2022-11-08,0.0001,1,중립
2022-11-04,0.0001,1,중립
2022-11-03,0.0005,2,중립
2022-10-27,0.3716,5,긍정
2022-10-07,0.4239,2,중립
2022-09-01,-0.002,2,중립
2022-07-28,0.4616,4,긍정
2022-07-07,0.4239,2,중립
2022-06-30,0.0056,1,중립
2022-05-31,0.0042,1,중립
2022-04-29,0.0001,3,중립
2022-04-28,0.4616,4,긍정
2022-04-07,0.4239,2,중립
2022-03-18,0.0001,1,중립
2022-03-16,0.0,2,중립
2022-02-17,-0.3437,1,중립
2022-02-15,0.0004,3,중립
2022-01-27,0.2492,4,긍정
2022-01-07,0.4239,2,중립
2021-12-01,0.001,2,중립
2021-11-24,0.001,1,중립
2021-11-10,0.0001,1,중립
2021-10-28,0.4616,4,긍정
2021-10-08,0.4239,2,중립
2021-10-05,-0.0029,1,중립
2021-09-06,-0.0029,1,중립
2021-07-29,0.6151,3,긍정
2021-07-07,0.4239,2,중립
2021-07-06,0.0056,1,중립
2021-05-31,0.0042,1,중립
2021-04-30,0.7339,1,긍정
2021-04-29,0.3695,5,긍정
2021-04-07,0.4239,2,중립
2021-03-17,0.0001,2,중립
2021-02-18,-0.3437,1,중립
2021-02-16,0.0005,2,중립
2021-01-28,0.1994,5,긍정
2021-01-20,-0.9993,1,부정
2021-01-08,0.4239,2,중립
2020-12-01,0.001,2,중립
2020-11-24,0.0001,1,중립
2020-10-29,0.4642,4,긍정
2020-10-08,0.4239,2,중립
2020-09-07,0.0008,1,중립
2020-07-30,0.6151,3,긍정
2020-07-15,0.0056,1,중립
2020-07-07,0.4239,2,중립
2020-05-29,0.0042,1,중립
2020-05-27,0.001,1,중립
2020-04-29,0.4616,4,긍정
2020-04-07,0.4239,2,중립
2020-03-24,0.001,1,중립
2020-03-19,0.0001,1,중립
2020-03-18,0.0,1,중립
2020-02-26,0.001,1,중립
2020-02-24,-0.3437,1,중립
2020-02-21,0.013,2,중립
2020-01-30,0.1665,6,긍정
2020-01-08,0.4239,2,중립
2019-11-29,0.001,1,중립
2019-10-31,0.4642,4,긍정
2019-10-08,0.4239,2,중립
2019-09-03,-0.9993,1,부정
2019-07-31,0.3704,5,긍정
2019-07-05,0.4239,2,중립
2019-06-14,0.0001,1,중립
2019-06-07,0.9997,1,긍정
2019-06-03,0.0042,1,중립
2019-04-30,0.3693,5,긍정
2019-04-05,0.4239,2,중립
2019-03-27,0.4458,2,긍정
2019-03-26,0.001,1,중립
2019-03-21,0.0001,1,중립
2019-03-20,0.0,1,중립
2019-03-08,0.9997,1,긍정
2019-02-28,-0.3437,1,중립
2019-02-27,0.001,1,중립
2019-02-26,0.0001,1,중립
2019-01-31,0.4616,4,긍정
2019-01-10,0.0001,1,중립
2019-01-08,0.8477,1,긍정
